XPath,ACOM_ISO,CGD_ISO,CISL_ISO,EOL_ISO,HAO_ISO,Library_ISO,MMM_ISO,OpenSky_ISO,RDA_ISO,Unidata_ISO
/@schemaLocation,0,0,0,100.00%,0,0,0,0,100.00%,0
/characterSet,0,0,0,100.00%,0,100.00%,0,0,100.00%,100.00%
/characterSet/@codeList,0,0,0,100.00%,0,100.00%,0,100.00%,100.00%,100.00%
/characterSet/@codeListValue,0,0,0,100.00%,0,100.00%,0,100.00%,100.00%,100.00%
/characterSet/@nilReason,100.00%,100.00%,100.00%,0,100.00%,0,100.00%,0,0,0
/contact,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/contact/contactInfo,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/contact/contactInfo/address/administrativeArea,0,0,0,100.00%,0,0,0,100.00%,100.00%,0
/contact/contactInfo/address/city,0,0,0,100.00%,0,0,0,100.00%,100.00%,0
/contact/contactInfo/address/country,0,0,0,0,0,0,0,0,100.00%,0
/contact/contactInfo/address/deliveryPoint,0,0,0,100.00%,0,0,0,100.00%,100.00%,0
/contact/contactInfo/address/electronicMailAddress,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/contact/contactInfo/address/postalCode,0,0,0,100.00%,0,0,0,100.00%,100.00%,0
/contact/contactInfo/onlineResource,60.00%,0,0,100.00%,0,0,0,100.00%,0,0
/contact/contactInfo/onlineResource/linkage/URL,60.00%,0,0,100.00%,0,0,0,100.00%,0,0
/contact/contactInfo/onlineResource/name,0,0,0,100.00%,0,0,0,100.00%,0,0
/contact/contactInfo/phone/facsimile,0,0,0,0,0,0,0,0,100.00%,0
/contact/contactInfo/phone/voice,60.00%,0,0,0,60.00%,0,0,0,0,100.00%
/contact/individualName,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,0,100.00%
/contact/individualName/@nilReason,0,20.00%,0,0,20.00%,100.00%,100.00%,0,0,0
/contact/organisationName,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/contact/positionName,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,100.00%
/contact/positionName/@nilReason,40.00%,100.00%,100.00%,0,20.00%,100.00%,100.00%,0,0,0
/contact/role,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/contact/role/@codeList,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/contact/role/@codeListValue,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/dataSetURI,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,100.00%,100.00%
/dateStamp/@nilReason,0,0,0,0,0,6.25%,0,0,0,0
/dateStamp/DateTime,100.00%,100.00%,100.00%,100.00%,100.00%,93.75%,100.00%,100.00%,100.00%,100.00%
/distributionInfo/distributionFormat/@nilReason,20.00%,0,100.00%,0,80.00%,0,100.00%,0,0,0
/distributionInfo/distributionFormat/name,80.00%,100.00%,0,0,20.00%,0,0,0,0,100.00%
/distributionInfo/distributionFormat/version/@nilReason,80.00%,100.00%,0,0,20.00%,0,0,0,0,100.00%
/distributionInfo/distributor/distributorContact,100.00%,0,0,100.00%,100.00%,0,100.00%,0,100.00%,100.00%
/distributionInfo/distributor/distributorContact/contactInfo,60.00%,0,0,100.00%,0,0,0,0,100.00%,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/address/administrativeArea,60.00%,0,0,100.00%,0,0,0,0,100.00%,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/address/city,60.00%,0,0,100.00%,0,0,0,0,100.00%,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/address/country,60.00%,0,0,95.79%,0,0,0,0,100.00%,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/address/deliveryPoint,60.00%,0,0,100.00%,0,0,0,0,100.00%,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/address/electronicMailAddress,60.00%,0,0,4.21%,0,0,0,0,100.00%,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/address/postalCode,60.00%,0,0,100.00%,0,0,0,0,100.00%,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/onlineResource,60.00%,0,0,100.00%,0,0,0,0,100.00%,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/onlineResource/linkage/URL,60.00%,0,0,100.00%,0,0,0,0,100.00%,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/onlineResource/name,0,0,0,100.00%,0,0,0,0,0,0
/distributionInfo/distributor/distributorContact/individualName,100.00%,0,0,0,100.00%,0,100.00%,0,0,100.00%
/distributionInfo/distributor/distributorContact/individualName/@nilReason,100.00%,0,0,0,100.00%,0,100.00%,0,0,100.00%
/distributionInfo/distributor/distributorContact/organisationName,100.00%,0,0,100.00%,100.00%,0,100.00%,0,100.00%,100.00%
/distributionInfo/distributor/distributorContact/positionName,100.00%,0,0,100.00%,100.00%,0,100.00%,0,0,100.00%
/distributionInfo/distributor/distributorContact/positionName/@nilReason,100.00%,0,0,0,100.00%,0,100.00%,0,0,100.00%
/distributionInfo/distributor/distributorContact/role,100.00%,0,0,100.00%,100.00%,0,100.00%,0,100.00%,100.00%
/distributionInfo/distributor/distributorContact/role/@codeList,100.00%,0,0,100.00%,100.00%,0,100.00%,0,100.00%,100.00%
/distributionInfo/distributor/distributorContact/role/@codeListValue,100.00%,0,0,100.00%,100.00%,0,100.00%,0,100.00%,100.00%
/distributionInfo/distributor/distributorFormat/@nilReason,100.00%,0,0,0,100.00%,0,100.00%,0,0,100.00%
/distributionInfo/transferOptions/onLine,0,0,0,100.00%,0,0,0,0,100.00%,18.18%
/distributionInfo/transferOptions/onLine/applicationProfile,0,0,0,0,0,0,0,0,100.00%,0
/distributionInfo/transferOptions/onLine/description,0,0,0,100.00%,0,0,0,0,100.00%,18.18%
/distributionInfo/transferOptions/onLine/function,0,0,0,96.66%,0,0,0,0,100.00%,18.18%
/distributionInfo/transferOptions/onLine/function/@codeList,0,0,0,96.66%,0,0,0,0,100.00%,18.18%
/distributionInfo/transferOptions/onLine/function/@codeListValue,0,0,0,96.66%,0,0,0,0,100.00%,18.18%
/distributionInfo/transferOptions/onLine/linkage,0,0,0,0,0,0,0,0,100.00%,0
/distributionInfo/transferOptions/onLine/linkage/URL,0,0,0,100.00%,0,0,0,0,100.00%,18.18%
/distributionInfo/transferOptions/onLine/name,0,0,0,100.00%,0,0,0,0,100.00%,18.18%
/distributionInfo/transferOptions/onLine/protocol,0,0,0,100.00%,0,0,0,0,100.00%,0
/distributionInfo/transferOptions/transferSize/Real,0,0,100.00%,98.12%,0,0,100.00%,0,0,18.18%
/fileIdentifier,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/hierarchyLevel,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/hierarchyLevel/@codeList,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/hierarchyLevel/@codeListValue,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/hierarchyLevelName/@nilReason,100.00%,100.00%,100.00%,0,100.00%,100.00%,100.00%,0,0,100.00%
/identificationInfo/@uuid,0,0,0,0,0,100.00%,0,0,0,0
/identificationInfo/abstract,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/identificationInfo/characterSet,0,0,0,0,0,0,0,0,0,100.00%
/identificationInfo/characterSet/@codeList,0,0,0,0,0,0,0,0,0,100.00%
/identificationInfo/characterSet/@codeListValue,0,0,0,0,0,0,0,0,0,100.00%
/identificationInfo/characterSet/@nilReason,100.00%,100.00%,100.00%,0,100.00%,100.00%,100.00%,0,0,0
/identificationInfo/citation,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/identificationInfo/citation/@uuid,0,0,0,0,0,100.00%,0,0,0,0
/identificationInfo/citation/ISSN,0,0,0,0,0,25.00%,0,0,0,0
/identificationInfo/citation/alternateTitle,100.00%,20.00%,100.00%,100.00%,0,43.75%,100.00%,0,100.00%,54.55%
/identificationInfo/citation/citedResponsibleParty,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/identificationInfo/citation/citedResponsibleParty/contactInfo,20.00%,0,0,100.00%,20.00%,0,0,0,0,100.00%
/identificationInfo/citation/citedResponsibleParty/contactInfo/address,0,0,0,100.00%,20.00%,0,0,0,0,100.00%
/identificationInfo/citation/citedResponsibleParty/contactInfo/address/administrativeArea,0,0,0,100.00%,20.00%,0,0,0,0,100.00%
/identificationInfo/citation/citedResponsibleParty/contactInfo/address/city,0,0,0,100.00%,20.00%,0,0,0,0,100.00%
/identificationInfo/citation/citedResponsibleParty/contactInfo/address/country,0,0,0,97.85%,20.00%,0,0,0,0,100.00%
/identificationInfo/citation/citedResponsibleParty/contactInfo/address/deliveryPoint,0,0,0,100.00%,20.00%,0,0,0,0,100.00%
/identificationInfo/citation/citedResponsibleParty/contactInfo/address/electronicMailAddress,20.00%,0,0,75.98%,20.00%,0,0,0,0,100.00%
/identificationInfo/citation/citedResponsibleParty/contactInfo/address/postalCode,0,0,0,100.00%,20.00%,0,0,0,0,100.00%
/identificationInfo/citation/citedResponsibleParty/contactInfo/onlineResource,20.00%,0,0,100.00%,20.00%,0,0,0,0,100.00%
/identificationInfo/citation/citedResponsibleParty/contactInfo/onlineResource/linkage/URL,20.00%,0,0,100.00%,20.00%,0,0,0,0,100.00%
/identificationInfo/citation/citedResponsibleParty/contactInfo/onlineResource/name,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/citedResponsibleParty/contactInfo/phone/voice,20.00%,0,0,67.93%,0,0,0,0,0,0
/identificationInfo/citation/citedResponsibleParty/individualName,100.00%,100.00%,100.00%,78.45%,100.00%,100.00%,100.00%,100.00%,6.04%,100.00%
/identificationInfo/citation/citedResponsibleParty/individualName/@nilReason,100.00%,100.00%,100.00%,0,40.00%,100.00%,100.00%,0,0,100.00%
/identificationInfo/citation/citedResponsibleParty/organisationName,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/identificationInfo/citation/citedResponsibleParty/organisationName/@nilReason,0,20.00%,0,0,40.00%,12.50%,0,0,0,18.18%
/identificationInfo/citation/citedResponsibleParty/positionName,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,0,100.00%
/identificationInfo/citation/citedResponsibleParty/positionName/@nilReason,100.00%,100.00%,100.00%,0,100.00%,100.00%,100.00%,0,0,100.00%
/identificationInfo/citation/citedResponsibleParty/role,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/identificationInfo/citation/citedResponsibleParty/role/@codeList,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/identificationInfo/citation/citedResponsibleParty/role/@codeListValue,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/identificationInfo/citation/date/@uuid,0,0,0,0,0,43.75%,0,0,0,0
/identificationInfo/citation/date/date,0,0,0,0,0,18.75%,0,0,0,0
/identificationInfo/citation/date/date/Date,100.00%,100.00%,100.00%,0,100.00%,100.00%,100.00%,0,100.00%,100.00%
/identificationInfo/citation/date/date/DateTime,0,0,0,100.00%,0,0,0,100.00%,0,0
/identificationInfo/citation/date/dateType,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/identificationInfo/citation/date/dateType/@codeList,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/identificationInfo/citation/date/dateType/@codeListValue,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/identificationInfo/citation/edition,80.00%,20.00%,0,95.79%,0,0,100.00%,0,0,72.73%
/identificationInfo/citation/editionDate/Date,0,0,0,0,0,0,100.00%,0,0,72.73%
/identificationInfo/citation/editionDate/DateTime,0,0,0,95.79%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/citedResponsibleParty,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/citedResponsibleParty/contactInfo,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/citedResponsibleParty/contactInfo/address/administrativeArea,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/citedResponsibleParty/contactInfo/address/city,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/citedResponsibleParty/contactInfo/address/deliveryPoint,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/citedResponsibleParty/contactInfo/address/electronicMailAddress,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/citedResponsibleParty/contactInfo/address/postalCode,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/citedResponsibleParty/contactInfo/onlineResource,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/citedResponsibleParty/contactInfo/onlineResource/linkage/URL,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/citedResponsibleParty/contactInfo/onlineResource/name,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/citedResponsibleParty/organisationName,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/citedResponsibleParty/positionName,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/citedResponsibleParty/role,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/citedResponsibleParty/role/@codeList,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/citedResponsibleParty/role/@codeListValue,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/date/date/DateTime,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/date/dateType,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/date/dateType/@codeList,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/date/dateType/@codeListValue,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/authority/title,0,0,0,100.00%,0,0,0,0,0,0
/identificationInfo/citation/identifier/code,0,0,0,100.00%,0,100.00%,0,100.00%,0,0
/identificationInfo/citation/identifier/code/Anchor,0,0,0,95.79%,0,0,0,0,0,0
/identificationInfo/citation/identifier/code/Anchor/@actuate,0,0,0,95.79%,0,0,0,0,0,0
/identificationInfo/citation/identifier/code/Anchor/@href,0,0,0,95.79%,0,0,0,0,0,0
/identificationInfo/citation/identifier/code/Anchor/@title,0,0,0,95.79%,0,0,0,0,0,0
/identificationInfo/citation/presentationForm,0,0,0,0,0,100.00%,0,0,0,0
/identificationInfo/citation/presentationForm/@codeList,0,0,0,0,0,100.00%,0,0,0,0
/identificationInfo/citation/presentationForm/@codeListValue,0,0,0,0,0,100.00%,0,0,0,0
/identificationInfo/citation/title,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/identificationInfo/credit,20.00%,20.00%,0,0,60.00%,0,100.00%,0,0,72.73%
/identificationInfo/descriptiveKeywords/keyword,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/identificationInfo/descriptiveKeywords/thesaurusName,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
/identificationInfo/descriptiveKeywords/thesaurusName/alternateTitle,0,0,0,0,0,0,0,0,100.00%,0
/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,100.00%,100.00%
/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/contactInfo,0,0,0,0,0,6.25%,0,0,0,100.00%
/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/contactInfo/address/administrativeArea,0,0,0,0,0,6.25%,0,0,0,0
/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/contactInfo/address/city,0,0,0,0,0,6.25%,0,0,0,0
/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/contactInfo/address/country,0,0,0,0,0,6.25%,0,0,0,0
/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/contactInfo/address/deliveryPoint,0,0,0,0,0,6.25%,0,0,0,0
/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/contactInfo/address/electronicMailAddress,0,0,0,0,0,6.25%,0,0,0,100.00%
/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/contactInfo/address/postalCode,0,0,0,0,0,6.25%,0,0,0,0
/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/contactInfo/onlineResource,0,0,0,0,0,6.25%,0,0,0,100.00%
/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/contactInfo/onlineResource/linkage/URL,0,0,0,0,0,6.25%,0,0,0,100.00%
/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/individualName,100.00%,100.00%,100.00%,0,100.00%,100.00%,100.00%,0,0,100.00%
